#{"t_start": 1731203105.9239593, "env_id": "LunarLander-v2"}
r,l,t
104.644862,1000,858.643028
156.853465,630,859.240093
203.09626,616,859.794177
4.992646,1000,861.33958
252.016239,516,863.000093
245.17717,484,864.47241
-32.630126,105,864.791718
263.994408,220,865.506336
200.553314,727,868.151922
206.183968,569,870.129895
222.241348,458,871.598061
254.46086,303,872.497298
240.553759,486,874.043433
237.160504,357,875.086218
274.587038,314,875.955724
239.987167,234,876.631977
-9.940336,136,877.008509
-22.931096,115,877.32928
49.811391,188,877.862929
56.948981,175,878.370634
56.791391,156,878.815211
-44.703758,100,879.094075
-26.969925,140,879.484645
25.756057,188,879.99919
83.70733,160,880.43222
53.399781,144,880.821023
-44.753895,125,881.155802
261.651962,224,881.772283
276.38785,265,882.533434
217.842409,356,883.601228
-14.406697,159,884.049831
183.058409,311,884.966565
229.955867,200,885.539073
0.550225,157,885.966061
6.491314,202,886.514147
248.818866,251,887.193352
229.410744,227,887.832293
195.174974,256,888.575458
198.539366,275,889.380087
277.456343,240,890.06719
280.985136,285,890.938998
-29.367796,150,891.404701
2.375821,132,891.596343
56.304225,170,891.682881
11.634354,100,891.729736
208.991706,192,891.842386
298.019378,230,891.968791
-15.672261,120,892.323035
208.814367,225,893.02252
22.913659,107,893.334298
200.34447,291,894.22645
265.998877,322,895.188601
192.147554,190,895.753307
242.466529,301,896.653898
53.451986,138,897.059987
293.708529,284,897.913352
250.936845,383,899.052705
-35.095912,177,899.567626
193.616619,277,900.383753
272.739805,285,901.262188
37.696861,216,901.882747
-23.588382,174,902.385095
230.658464,243,903.07149
207.314437,199,903.63115
-21.141665,159,904.066334
270.163237,333,904.98931
-35.701638,182,905.45567
183.116122,198,905.988306
285.084426,250,906.758469
-14.23202,121,907.103813
20.411294,218,907.714695
-17.976737,138,908.1018
149.200919,645,910.025162
201.893533,250,910.722082
225.873872,256,911.458977
285.575655,322,912.443832
238.016886,406,913.749316
179.145942,607,915.751064
274.299114,252,916.483834
231.19256,792,919.195048
21.636839,175,919.683409
211.635556,276,922.232833
218.914209,973,923.167547
257.755974,239,923.321677
213.084254,186,923.431711
6.708741,167,923.525167
-166.531528,872,926.130914
248.703246,419,927.408247
232.594152,261,928.142071
